aggregator_type,best_model_path,dropout,feat_name,gpu,lr,model_path_dir,n_epochs,n_hidden,n_layers,shuffle,weight_decay,loss,acc
mean,Graph_ckpt/best_model_20211103-19-47,0.2,feat-all5,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.7275927,0.533627766
gcn,Graph_ckpt/best_model_20211104-07-46,0.5,feat-all4,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.756824159,0.533579761
pool,Graph_ckpt/best_model_20211110-01-26,0.2,feat-all4,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,1.79484742,0.533531756
lstm,Graph_ckpt/best_model_0_20211105-19-29,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.698013548,0.533291729
mean,Graph_ckpt/best_model_0_20211104-13-21,0.5,feat-all5,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.808831805,0.533099707
gcn,Graph_ckpt/best_model_0_20211105-12-30,0.2,feat-all2,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.690647376,0.533051702
pool,Graph_ckpt/best_model_0_20211110-05-47,0.5,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,36.56731439,0.53276367
mean,Graph_ckpt/best_model_0_20211109-04-25,0.7,feat-all5,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.691323967,0.532715664
pool,Graph_ckpt/best_model_20211107-05-18,0.7,feat-all5,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,1.444435502,0.532667659
pool,Graph_ckpt/best_model_0_20211111-03-48,0.7,feat-all5,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,1.005448594,0.532571648
gcn,Graph_ckpt/best_model_20211106-08-04,0.5,feat-all4,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,1.286754126,0.532427632
pool,Graph_ckpt/best_model_20211104-11-18,0.5,feat-all5,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,3.603202212,0.532379627
