stock,influence_jyr_date,feature,label
601336,20190719,"[0.29591676592826843, 0.0, 0.2571721076965332, 0.0, 0.3429245352745056, 0.0, 0.0, 0.0, 0.0, 0.42218220233917236, 0.0, 0.0, 0.10401194542646408, 0.0, 0.49638912081718445, 0.15888383984565735]",1
601336,20190724,"[0.0, 0.0, 0.06274350732564926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21503642201423645, 0.0, 0.0, 0.1891660988330841, 0.011750440113246441, 0.27785325050354004, 0.0]",1
601336,20190730,"[0.0, 0.0, 0.0, 0.3002568185329437, 0.0, 0.0, 0.0, 0.7412017583847046, 0.0, 0.0, 0.0, 0.24090059101581573, 0.6454057693481445, 0.9004132747650146, 0.0, 0.0]",1
601336,20190802,"[0.0, 0.0, 0.0, 0.0011622007004916668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22304080426692963, 0.5277514457702637, 0.0, 0.0]",0
601336,20190809,"[0.4262315034866333, 0.0, 0.35584357380867004, 0.0, 0.36082205176353455, 0.0, 0.0, 0.0, 0.0, 0.5312597155570984, 0.0, 0.0, 0.1385967880487442, 0.0, 0.5517289638519287, 0.11836379021406174]",0
601336,20190812,"[0.0, 0.0, 0.07852104306221008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1806926727294922, 0.0, 0.0, 0.1356658786535263, 0.0, 0.1973886787891388, 0.006430642679333687]",1
601336,20190819,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46806788444519043, 0.578449010848999, 0.0, 0.0]",1
601336,20190826,"[0.0, 0.0, 0.08789961040019989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.345464289188385, 0.07643628865480423, 0.0, 0.0887722447514534, 0.0, 0.5827206969261169, 0.0]",0
601336,20190829,"[0.5731239318847656, 0.0, 0.44304347038269043, 0.0, 0.39916518330574036, 0.0, 0.0, 0.0, 0.07588915526866913, 0.5972652435302734, 0.0, 0.0, 0.19369018077850342, 0.0, 0.6257563829421997, 0.14827564358711243]",0
601336,20191018,"[0.5277020931243896, 0.0, 0.36398687958717346, 0.0, 0.37373605370521545, 0.0, 0.0, 0.0, 0.012334581464529037, 0.5154778957366943, 0.0, 0.0, 0.14242736995220184, 0.0, 0.5520995855331421, 0.1281566321849823]",0
601336,20191021,"[0.0, 0.0, 0.08707686513662338, 0.0, 0.0, 0.0, 0.0, 0.00505959615111351, 0.0, 0.33974266052246094, 0.06106793135404587, 0.0, 0.09118258953094482, 0.0, 0.5475637912750244, 0.0]",1
601336,20191115,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.193790465593338, 0.047277942299842834, 0.0, 0.0, 0.4164661169052124, 0.17534643411636353, 0.0, 0.0]",0
601336,20200323,"[0.0, 0.0, 0.07750064134597778, 0.0, 0.08887525647878647, 0.0, 0.0, 0.0, 0.0, 0.37751665711402893, 0.0, 0.035348933190107346, 0.0003565903753042221, 0.0, 0.4376831352710724, 0.0]",0
601336,20200325,"[0.0, 0.0, 0.11886343359947205, 0.0, 0.033347584307193756, 0.0, 0.0, 0.0, 0.0, 0.25190410017967224, 0.0, 0.0, 0.11162910610437393, 0.0, 0.36679038405418396, 0.009655725210905075]",1
601336,20200407,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34635472297668457, 0.2255609631538391, 0.0, 0.0]",1
601336,20200414,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3785378336906433, 0.4064585268497467, 0.0, 0.0]",1
601336,20200417,"[0.0, 0.0, 0.11214670538902283, 0.0, 0.006603017449378967, 0.0, 0.0, 0.0, 0.0, 0.295701801776886, 0.04597587510943413, 0.0, 0.1145111545920372, 0.0, 0.49157285690307617, 0.0]",1
601336,20200420,"[0.0, 0.0, 0.07827019691467285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18039128184318542, 0.0, 0.0, 0.13583792746067047, 0.0, 0.19673386216163635, 0.006426295265555382]",1
601336,20200429,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7182555794715881, 0.07405262440443039, 0.3310464918613434, 0.0, 0.0, 0.06612660735845566, 0.0, 0.0]",1
601360,20181203,"[0.43155139684677124, 0.0, 0.3128420114517212, 0.0, 0.41199880838394165, 0.0, 0.0, 0.0, 0.0, 0.5151293277740479, 0.0, 0.0, 0.07286373525857925, 0.0, 0.5229678750038147, 0.12451507896184921]",1
601360,20190213,"[0.4500112533569336, 0.0, 0.29064083099365234, 0.0, 0.18493646383285522, 0.0, 0.0, 0.0, 0.14453046023845673, 0.3981071710586548, 0.0, 0.0, 0.1428971141576767, 0.0, 0.416474848985672, 0.09449895471334457]",1
601360,20190422,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39414578676223755, 0.3698064088821411, 0.0, 0.0]",0
601360,20190523,"[0.27789306640625, 0.0, 0.25687867403030396, 0.0, 0.2655808627605438, 0.0, 0.0, 0.0, 0.0, 0.3775806128978729, 0.0, 0.0, 0.07681191712617874, 0.0, 0.3896445035934448, 0.0884600281715393]",0
601360,20190530,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38441771268844604, 0.38862165808677673, 0.0, 0.0]",0
601360,20190611,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4142252802848816, 0.36906272172927856, 0.0, 0.0]",1
601360,20190624,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08277864754199982, 0.07842233777046204, 0.30468273162841797, 0.0, 0.01690993830561638, 0.08323395252227783, 0.0, 0.09776493906974792, 0.0]",1
601360,20190625,"[0.40821391344070435, 0.0, 0.3025665581226349, 0.0, 0.4234907329082489, 0.0, 0.0, 0.0, 0.0, 0.5094199180603027, 0.0, 0.0, 0.06600804626941681, 0.0, 0.5178957581520081, 0.12234442681074142]",0
601360,20190802,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3942440152168274, 0.36858174204826355, 0.0, 0.0]",0
